var_desc,var,var_desc_ewas,Matched Unit,Unit Type,ID,Test Name,Specimen,Cell Type,Low CU,High CU,Conventional Units,Low SI,High SI,SI Units,Effect,Test Method Type,Gender,Age_group,Testing time,Tests Anatomical Position,Blood level,Infection Type,Other conditions,Source,Comments
 - , - , - , - , - ,#001,Acetaminophen,Serum or plasma (Hep or EDTA), -,10,30,mcg/mL,66,199,mcmol/L,Therapeutic, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#002,Acetaminophen,Serum or plasma (Hep or EDTA), -,>200, -,mcg/mL,>1324, -,mcmol/L,Toxic, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#003,Acetone,Serum, -, -, -,Negative, -, -,Negative, -,Qualitative, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#004,Acetone,Serum, -,0.3,2,mg/dL,0.05,0.34,mmol/L, -,Quantitative, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#005,Acetone,Urine, -, -, -,Negative, -, -,Negative, -,Qualitative, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#006,Acid hemolysis test (Ham), -, -, -,<5,% lysis, -,<0.05,lysed fraction, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#007,Adrenocorticotropin (ACTH),Plasma, -, -,<120,pg/mL, -,<26,pmol/L, -, -, -, -,8:00 AM, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#008,Adrenocorticotropin (ACTH),Plasma, -, -,<10,pg/mL, -,<2.2,pmol/L, -, -, -, -,Midnight,Supine, -, -, -,Stedman's, -
Alanine aminotransferase ALT (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#009,"Alanine aminotransferase (ALT, SGPT)",Serum, -,13,40,U/L (37C),0.22,0.68,mckat/L (37C), -, -,Male, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
ALT: SI (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#009,"Alanine aminotransferase (ALT, SGPT)",Serum, -,13,40,U/L (37C),0.22,0.68,mckat/L (37C), -, -,Male, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
ALT (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#009,"Alanine aminotransferase (ALT, SGPT)",Serum, -,13,40,U/L (37C),0.22,0.68,mckat/L (37C), -, -,Male, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Alanine aminotransferase (ALT) (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#009,"Alanine aminotransferase (ALT, SGPT)",Serum, -,13,40,U/L (37C),0.22,0.68,mckat/L (37C), -, -,Male, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Alanine aminotransferase (U/L),LB2SATSI,biochemistry,U/L,Conventional Unit,#009,"Alanine aminotransferase (ALT, SGPT)",Serum, -,13,40,U/L (37C),0.22,0.68,mckat/L (37C), -, -,Male, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Alanine aminotransferase ALT (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#010,"Alanine aminotransferase (ALT, SGPT)",Serum, -,10,28,U/L (37C),0.17,0.48,mckat/L (37C), -, -,Female, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
ALT: SI (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#010,"Alanine aminotransferase (ALT, SGPT)",Serum, -,10,28,U/L (37C),0.17,0.48,mckat/L (37C), -, -,Female, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
ALT (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#010,"Alanine aminotransferase (ALT, SGPT)",Serum, -,10,28,U/L (37C),0.17,0.48,mckat/L (37C), -, -,Female, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Alanine aminotransferase (ALT) (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#010,"Alanine aminotransferase (ALT, SGPT)",Serum, -,10,28,U/L (37C),0.17,0.48,mckat/L (37C), -, -,Female, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Alanine aminotransferase (U/L),LB2SATSI,biochemistry,U/L,Conventional Unit,#010,"Alanine aminotransferase (ALT, SGPT)",Serum, -,10,28,U/L (37C),0.17,0.48,mckat/L (37C), -, -,Female, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Albumin (g/dL),LBXSAL,biochemistry,g/dL,Conventional Unit,#011,Albumin,Serum, -,3.5,5.2,g/dL,35,52,g/L, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Albumin (g/L),LBDSALSI,biochemistry,g/L,SI Unit,#011,Albumin,Serum, -,3.5,5.2,g/dL,35,52,g/L, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Albumin (g/dL),LB2SAL,biochemistry,g/dL,Conventional Unit,#011,Albumin,Serum, -,3.5,5.2,g/dL,35,52,g/L, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Albumin (g/L),LB2SALSI,biochemistry,g/L,SI Unit,#011,Albumin,Serum, -,3.5,5.2,g/dL,35,52,g/L, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Albumin (g/dL),LBXSAL,biochemistry,g/dL,Conventional Unit,#012,Albumin,Serum, -,3.2,4.6,g/dL,32,46,g/L, -, -, -,>60 y, -, -, -, -, -,Stedman's,Avg. of 0.3 g/dL higher in patients in upright position (Conventional Units); Avg. of 3 g/L higher in patients in upright position (SI Units)
Albumin (g/L),LBDSALSI,biochemistry,g/L,SI Unit,#012,Albumin,Serum, -,3.2,4.6,g/dL,32,46,g/L, -, -, -,>60 y, -, -, -, -, -,Stedman's,Avg. of 0.3 g/dL higher in patients in upright position (Conventional Units); Avg. of 3 g/L higher in patients in upright position (SI Units)
Albumin (g/dL),LB2SAL,biochemistry,g/dL,Conventional Unit,#012,Albumin,Serum, -,3.2,4.6,g/dL,32,46,g/L, -, -, -,>60 y, -, -, -, -, -,Stedman's,Avg. of 0.3 g/dL higher in patients in upright position (Conventional Units); Avg. of 3 g/L higher in patients in upright position (SI Units)
Albumin (g/L),LB2SALSI,biochemistry,g/L,SI Unit,#012,Albumin,Serum, -,3.2,4.6,g/dL,32,46,g/L, -, -, -,>60 y, -, -, -, -, -,Stedman's,Avg. of 0.3 g/dL higher in patients in upright position (Conventional Units); Avg. of 3 g/L higher in patients in upright position (SI Units)
 - , - , - , - , - ,#013,Albumin,Urine, -, -, -,Negative, -, -,Negative, -,Qualitative, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#014,Albumin,Urine, -,50,80,mg/24 h,50,80,mg/24 h, -,Quantitative, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#015,Albumin,Cerebrospinal fluid (CSF), -,10,30,mg/dL,100,300,mg/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#016,Aldolase,Serum, -,1,7.5,U/L (30C),0.02,0.13,mckat/L (30C), -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
 - , - , - , - , - ,#017,Aldosterone,Serum, -,3,16,ng/dL ,0.08,0.44,nmol/L, -, -, -, -, -,Supine, -, -, -,Stedman's, -
 - , - , - , - , - ,#018,Aldosterone,Serum, -,7,30,ng/dL ,0.19,0.83,nmol/L, -, -, -, -, -,Standing, -, -, -,Stedman's, -
 - , - , - , - , - ,#019,Aldosterone,Urine, -,3,19,mcg/24 h,8,51,nmol/24 h, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#020,Amikacin,serum or plasma (EDTA), -,25,35,mcg/mL,43,60,mcmol/L,Therapeutic, -, -, -, -, -,Peak, -, -,Stedman's, -
 - , - , - , - , - ,#021,Amikacin,serum or plasma (EDTA), -,1,4,mcg/mL,1.7,6.8,mcmol/L,Therapeutic, -, -, -, -, -,Trough,Less severe infection, -,Stedman's, -
 - , - , - , - , - ,#022,Amikacin,serum or plasma (EDTA), -,4,8,mcg/mL,6.8,13.7,mcmol/L,Therapeutic, -, -, -, -, -,Trough,Life-threatening infection, -,Stedman's, -
 - , - , - , - , - ,#023,Amikacin,serum or plasma (EDTA), -,>35,40,mcg/mL,>60,68,mcmol/L,Toxic, -, -, -, -, -,Peak, -, -,Stedman's, -
 - , - , - , - , - ,#024,Amikacin,serum or plasma (EDTA), -,>10,15,mcg/mL,>17,26,mcmol/L,Toxic, -, -, -, -, -,Trough, -, -,Stedman's, -
 - , - , - , - , - ,#025,5-Aminolevulinic acid,Urine, -,1.3,7,mg/24 h,10,53,mcmol/24 h, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#026,Amitriptyline,Serum or plasma (Hep or EDTA), -,80,250,ng/mL,289,903,nmol/L,Therapeutic, -, -, -,trough (>=12 h after dose), -, -, -, -,Stedman's, -
 - , - , - , - , - ,#027,Amitriptyline,Serum or plasma (Hep or EDTA), -,>500, -,ng/mL, >1805, -,nmol/L,Toxic, -, -, -,trough (>=12 h after dose), -, -, -, -,Stedman's, -
